
Host: ibcp24-083

Timers On : Tue Feb 24 10:16:33 2026
Timers Off: Tue Feb 24 10:28:26 2026

Wall Time:      713.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.000u      0.033s      0.605w      5 calls
build grid                          :      0.733u      0.017s      0.446w      5 calls
post-process grid                   :      0.267u      0.017s      0.159w      5 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.045w      5 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.096w     35 calls
DFH: initialize()                   :      1.267u      0.100s      0.800w      5 calls
DFH: AO Construction                :      0.400u      0.000s      0.251w     55 calls
DFH: AO-Met. Contraction            :      0.500u      0.017s      0.300w     55 calls
HF: Form core H                     :      0.033u      0.000s      0.031w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w      5 calls
HF: Guess                           :      0.050u      0.017s      0.038w      5 calls
SAD Guess                           :      0.050u      0.017s      0.037w      1 calls
HF: Form G                          :     21.300u      0.150s     12.877w     36 calls
RV: Form V                          :     20.567u      0.150s     12.409w     36 calls
Properties                          :     13.350u      0.050s      7.953w  54294 calls
Functional                          :      4.817u      0.100s      3.115w  54294 calls
V_xc                                :      6.333u      0.033s      3.763w  47672 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     36 calls
JK: JK                              :      0.717u      0.000s      0.437w     36 calls
DFH: compute_JK()                   :      0.717u      0.000s      0.436w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     72 calls
DFH: compute_J                      :      0.200u      0.000s      0.174w     72 calls
DFH: compute_K                      :      0.517u      0.000s      0.249w     72 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     36 calls
HF: Form F                          :      0.000u      0.000s      0.001w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.200u      0.050s      0.091w     35 calls
HF: Form C                          :      0.017u      0.000s      0.027w     35 calls
Grad: V T Perturb                   :      0.050u      0.000s      0.018w      5 calls
Grad: S                             :      0.000u      0.000s      0.003w      5 calls
Grad: JK                            :      2.400u      0.050s      1.519w      5 calls
JKGrad: Amn                         :      0.583u      0.000s      0.372w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.367u      0.033s      0.218w      5 calls
JKGrad: UV                          :      0.017u      0.000s      0.014w      5 calls
JKGrad: ABx                         :      0.033u      0.000s      0.030w      5 calls
JKGrad: Amnx                        :      1.400u      0.017s      0.852w      5 calls
Grad: XC                            :      5.983u      0.050s      3.607w      5 calls
V_xc gradient                       :      1.750u      0.000s      1.089w   6622 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.000u      0.033s      0.605w      5 calls
| build grid                        :      0.733u      0.017s      0.446w      5 calls
| post-process grid                 :      0.267u      0.017s      0.159w      5 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.045w      5 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.031w      5 calls
DFH: initialize()                   :      1.267u      0.100s      0.800w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.019w     10 calls
| DFH: AO Construction              :      0.400u      0.000s      0.251w     55 calls
| DFH: AO-Met. Contraction          :      0.500u      0.017s      0.300w     55 calls
HF: Form core H                     :      0.033u      0.000s      0.031w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w      5 calls
HF: Guess                           :      0.050u      0.017s      0.038w      5 calls
| SAD Guess                         :      0.050u      0.017s      0.037w      1 calls
HF: Form G                          :     21.300u      0.150s     12.877w     36 calls
| RV: Form V                        :     20.567u      0.150s     12.409w     36 calls
| | Properties                      :      9.783u      0.033s      5.843w  47672 calls
| | Functional                      :      4.233u      0.083s      2.724w  47672 calls
| | V_xc                            :      6.333u      0.033s      3.763w  47672 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     36 calls
| JK: JK                            :      0.717u      0.000s      0.437w     36 calls
| | DFH: compute_JK()               :      0.717u      0.000s      0.436w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     72 calls
| | | DFH: compute_J                :      0.200u      0.000s      0.174w     72 calls
| | | DFH: compute_K                :      0.517u      0.000s      0.249w     72 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w     36 calls
HF: Form F                          :      0.000u      0.000s      0.001w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.200u      0.050s      0.091w     35 calls
HF: Form C                          :      0.017u      0.000s      0.027w     35 calls
Grad: V T Perturb                   :      0.050u      0.000s      0.018w      5 calls
Grad: S                             :      0.000u      0.000s      0.003w      5 calls
Grad: JK                            :      2.400u      0.050s      1.519w      5 calls
| JKGrad: Amn                       :      0.583u      0.000s      0.372w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.023w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.367u      0.033s      0.218w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.017u      0.000s      0.014w      5 calls
| JKGrad: ABx                       :      0.033u      0.000s      0.030w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      1.400u      0.017s      0.852w      5 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.022w      5 calls
Grad: XC                            :      5.983u      0.050s      3.607w      5 calls
| Properties                        :      3.567u      0.017s      2.111w   6622 calls
| Functional                        :      0.583u      0.017s      0.391w   6622 calls
| V_xc gradient                     :      1.750u      0.000s      1.089w   6622 calls

**************************************************************************************

Host: ibcp24-083

Timers On : Tue Feb 24 10:28:37 2026
Timers Off: Tue Feb 24 11:14:54 2026

Wall Time:     2776.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.233u      0.033s      1.375w     11 calls
